Names,Number,Name,Topic,Difficulty,Answer
Write Fraction That Represents Shaded Region,202,Write Fraction That Represents Shaded Region,Number Properties and Operations,4,D
Multiply Two Negative Integers,203,Multiply Two Negative Integers,Number Properties and Operations,6,E
Find Amount of Restaurant Tip,204,Find Amount of Restaurant Tip,Number Properties and Operations,7,C
Identify Representative Sample,205,Identify Representative Sample,"Data Analysis, Statistics, and Probability",5,B
Read Dials on a Meter,206,Read Dials on a Meter,Measurement,7,C
"Find (x,y) Solution of Linear Equation",207,"Find (x,y) Solution of Linear Equation",Algebra,6,B
"Find (x,y) Solution of Linear Equation",208,"Find (x,y) Solution of Linear Equation",Algebra,7,E
List angle measures from smallest to largest,209,List angle measures from smallest to largest,Measurement,6,C
Reason to order quantities,210,Reason to order quantities,Algebra,1,B
Determine how many colors are needed to paint a cube,211,Determine how many colors are needed to paint a cube,Geometry,2,C
Identify piece of information not needed,212,Identify piece of information not needed,Number Properties and Operations,5,D
Determine effect of increasing the value of one variable,213,Determine effect of increasing the value of one variable,Algebra,7,A
Estimate the x-coordinate from the graph of a curve,214,Estimate the x-coordinate from the graph of a curve,Algebra,6,C
Extend a pattern involving perfect squares,215,Extend a pattern involving perfect squares,Algebra,6,B
Determine coordinates to complete a rectangle,216,Determine coordinates to complete a rectangle,Algebra,5,D
Use properties of quadrilaterals to solve a problem,217,Use properties of quadrilaterals to solve a problem,Geometry,7,E
Determine distance between points from a written description,218,Determine distance between points from a written description,Number Properties and Operations,7,E
Recognize expanded form of number,219,Recognize expanded form of number,Number Properties and Operations,6,B
Solve a story problem involving percent increase,220,Solve a story problem involving percent increase,Number Properties and Operations,7,D
Measure length of a line segment,221,Measure length of a line segment,Measurement,2,D
Identify perpendicular streets,222,Identify perpendicular streets,Geometry,5,E
Find angle with specified degree measure,223,Find angle with specified degree measure,Measurement,3,B
Solve a story problem using ratios,224,Solve a story problem using ratios,Number Properties and Operations,6,D
Find coordinate of point using midpoint,225,Find coordinate of point using midpoint,Geometry,6,A
Use average (mean) to solve a problem,226,Use average (mean) to solve a problem,"Data Analysis, Statistics, and Probability",6,B
Identify graph representing a situation,227,Identify graph representing a situation,Algebra,7,C
Interpret slope from verbal description,228,Interpret slope from verbal description,Algebra,6,A
Identify effect of outlier on statistics,229,Identify effect of outlier on statistics,"Data Analysis, Statistics, and Probability",6,B
Identify segment drawn to scale,230,Identify segment drawn to scale,Measurement,6,D
Use algebraic model to estimate height,231,Use algebraic model to estimate height,Algebra,6,E
Translate a percent to a fraction in context,232,Translate a percent to a fraction in context,Number Properties and Operations,4,C
Identify a verbal description of a rotation of a figure in the xy-plane,233,Identify a verbal description of a rotation of a figure in the xy-plane,Geometry,7,D
Identify which shapes are cylinders,234,Identify which shapes are cylinders,Geometry,1,B
Identify the missing figure in a pattern,235,Identify the missing figure in a pattern,Algebra,1,A
Determine how many angles are less than 90 degrees,236,Determine how many angles are less than 90 degrees,Geometry,4,C
Determine area of shaded region on grid,237,Determine area of shaded region on grid,Measurement,2,B
Identify numbers rounded to whole numbers,238,Identify numbers rounded to whole numbers,Number Properties and Operations,1,C
Determine which shape cannot be formed by 2 overlapping tiles,239,Determine which shape cannot be formed by 2 overlapping tiles,Geometry,6,E
"Given probability, determine faces of a cube labeled R",240,"Given probability, determine faces of a cube labeled R","Data Analysis, Statistics, and Probability",7,D
Find the Cost of a Necklace,241,Find the Cost of a Necklace,Number Properties and Operations,2,D
Find the Distance,242,Find the Distance,Number Properties and Operations,3,C
Find the Next Figure in a Pattern,243,Find the Next Figure in a Pattern,Algebra,1,B
Servings of Hamburgers,244,Servings of Hamburgers,Number Properties and Operations,1,B
Total Number of Newspapers Delivered,245,Total Number of Newspapers Delivered,Algebra,2,B
Find the Heaviest Object,246,Find the Heaviest Object,Measurement,5,C
Using Estimation,247,Using Estimation,Number Properties and Operations,2,A
Find the Difference When Replacing a Digit,248,Find the Difference When Replacing a Digit,Number Properties and Operations,3,B
Find the Number of Pages Needed in a Photo Album,249,Find the Number of Pages Needed in a Photo Album,Number Properties and Operations,4,C
Flattened Cube,250,Flattened Cube,Geometry,5,A
